,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
52,87195838affffff,7,0.0,0.0,0.0,"[51.39682636192319, -2.47636910702252]",1
53,8719580eaffffff,7,0.0,0.0,0.0,"[51.55940300583498, -2.5744126121796493]",1
54,8719580deffffff,7,0.0,0.0,0.0,"[51.550590546812515, -2.7061364250202655]",3
55,871958700ffffff,7,0.0,0.0,0.0,"[51.558913486753596, -2.8599800872856638]",4
56,8719586e3ffffff,7,1413.8833333333332,0.0,0.0,"[51.30649231272648, -2.968852592699143]",8
57,871958286ffffff,7,0.0,0.0,0.0,"[51.33379996666994, -2.5749443983520157]",2
58,87195870affffff,7,0.0,0.0,0.0,"[51.5024946238937, -2.85983450360983]",3
59,87195805affffff,7,0.0,0.0,0.0,"[51.54641588889488, -2.486722017870339]",2
60,8719580daffffff,7,0.0,0.0,0.0,"[51.531054746424935, -2.7171156292173957]",2
61,8719580c8ffffff,7,6.958333333333333,6.0,4.0,"[51.52037358024469, -2.5964347112466952]",0
62,87195871bffffff,7,0.0,0.0,0.0,"[51.49792648523712, -2.9257418972241793]",5
63,871958383ffffff,7,0.0,0.0,0.0,"[51.43369807303528, -2.4871592164077168]",1
64,8719580c1ffffff,7,0.0,0.0,0.0,"[51.557214620498605, -2.607334785445777]",1
65,8719586edffffff,7,0.0,0.0,0.0,"[51.27421312998584, -2.8920774971025374]",7
66,871958059ffffff,7,0.0,0.0,0.0,"[51.531229041249134, -2.431999822029031]",1
67,87195871affffff,7,0.0,0.0,0.0,"[51.515211897823804, -2.9477932205404973]",6
68,8719586e0ffffff,7,1630.232142857143,0.0,0.0,"[51.326120350993136, -2.9579798581919623]",7
69,8719583b3ffffff,7,894.2909722222222,4.0,2.0,"[51.487898256577076, -2.519804477759401]",0
70,871958753ffffff,7,0.0,0.0,0.0,"[51.43101868987933, -2.8048068927828105]",2
71,871958284ffffff,7,0.0,0.0,0.0,"[51.336012003903, -2.5421562045614032]",2
72,8719582b5ffffff,7,0.0,0.0,0.0,"[51.37290506871367, -2.5529824218159423]",2
73,871958625ffffff,7,0.0,0.0,0.0,"[51.46562502804506, -2.8487624068015314]",2
74,871958386ffffff,7,0.0,2.0,1.0,"[51.47055941297342, -2.4979640058481927]",0
75,87195838cffffff,7,0.0,0.0,0.0,"[51.41851964951764, -2.4325434327165563]",2
76,87195861dffffff,7,0.0,0.0,0.0,"[51.382652117511725, -2.958220800846405]",7
77,8719583b1ffffff,7,0.0,5.0,2.0,"[51.490071666465695, -2.4869408304055]",0
78,87195829effffff,7,0.0,0.0,0.0,"[51.292436246660735, -2.629657149750761]",4
79,8719586e5ffffff,7,0.0,0.0,0.0,"[51.32844390495629, -2.925114086311153]",6
80,871958758ffffff,7,1593.9318181818182,0.0,0.0,"[51.39639655557957, -2.7609187132874133]",2
81,87195805bffffff,7,0.0,0.0,0.0,"[51.52907752758488, -2.4648749477370018]",1
82,871958644ffffff,7,0.0,0.0,0.0,"[51.32032249789132, -2.7717955202570006]",2
83,871958673ffffff,7,0.0,0.0,0.0,"[51.335355625110545, -2.82655063551726]",3
84,871958642ffffff,7,988.25,0.0,0.0,"[51.298437911279336, -2.8155343995890285]",4
85,871958605ffffff,7,0.0,0.0,0.0,"[51.424167929276884, -2.903519370244693]",5
86,8719582adffffff,7,0.0,0.0,0.0,"[51.30569326073158, -2.4330849292087127]",2
87,87195874bffffff,7,0.0,0.0,0.0,"[51.36400755354163, -2.6842630927677416]",1
88,871958395ffffff,7,4118.03125,3.0,1.0,"[51.46837994895981, -2.5308189441459246]",0
89,871958742ffffff,7,0.0,4.0,2.0,"[51.4355367223883, -2.7390271557827486]",0
90,8719582a4ffffff,7,0.0,0.0,0.0,"[51.37729519486663, -2.487377177122936]",2
91,871958645ffffff,7,0.0,0.0,0.0,"[51.303001185026254, -2.74990029835998]",3
92,871958283ffffff,7,0.0,0.0,0.0,"[51.29689425533555, -2.5641096639905347]",2
93,87195875bffffff,7,0.0,0.0,0.0,"[51.376817187824294, -2.771854778652241]",1
94,87195870cffffff,7,0.0,0.0,0.0,"[51.52432405061234, -2.8159430860001495]",2
95,871958382ffffff,7,3.0,14.0,6.0,"[51.45104094926787, -2.5089806772907175]",0
96,871958746ffffff,7,951.3291666666667,0.0,0.0,"[51.4550975137422, -2.7280716537361163]",1
97,871958601ffffff,7,0.0,0.0,0.0,"[51.40457077496382, -2.914424393082443]",6
98,871958391ffffff,7,1833.2613095238096,0.0,0.0,"[51.44885543260045, -2.541826908659802]",1
99,87195839effffff,7,14377.038194444445,11.0,5.0,"[51.42932471131744, -2.5528283762445114]",0
100,871958763ffffff,7,1356.685606060606,0.0,0.0,"[51.45956420136988, -2.6622974406151485]",1
101,8719586eaffffff,7,0.0,0.0,0.0,"[51.2695593591063, -2.957739384734476]",9
102,871958609ffffff,7,0.0,0.0,0.0,"[51.35036745238557, -2.881357151760792]",4
103,87195876effffff,7,9798.402777777777,15.0,6.0,"[51.44224017060801, -2.6404008256693916]",0
104,8719583aaffffff,7,0.0,0.0,0.0,"[51.4380323615334, -2.4215137096403136]",3
105,871958390ffffff,7,23509.186772486773,17.0,8.0,"[51.46619070144553, -2.563679776820471]",0
106,8719582b4ffffff,7,0.0,0.0,0.0,"[51.390244669288414, -2.574811840380745]",1
107,871958741ffffff,7,1333.6197916666667,0.0,0.0,"[51.42046058729644, -2.6842370154109516]",2
108,871958670ffffff,7,0.0,0.0,0.0,"[51.3549533892058, -2.815636272467477]",2
