,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
43,861958757ffffff,6,228.3881849962207,6.0,4.0,"[51.4505848980557, -2.7938743263238446]",0,390.62818410688317,1000,400,0,0.27440832209018445,0.4783266344018423,7.1346163743447955,214.03849123034385,14.34979903205527,300
44,871958600ffffff,7,0.0,0.0,0.0,"[51.42186466377941, -2.936434881037741]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
45,8719583b1ffffff,7,0.0,5.0,2.0,"[51.490071666465695, -2.4869408304055]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
46,87195871dffffff,7,0.0,0.0,0.0,"[51.51978769157045, -2.881856764968372]",4,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
47,871958388ffffff,7,0.0,0.0,0.0,"[51.39900073433518, -2.443566660281777]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
48,871958745ffffff,7,0.0,0.0,0.0,"[51.44001549382342, -2.6732704721458056]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
49,87195865cffffff,7,0.0,0.0,0.0,"[51.27882766014854, -2.8264381693802485]",5,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
50,8719580c3ffffff,7,0.0,0.0,0.0,"[51.555016419316054, -2.6402628254707774]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
51,87195829effffff,7,0.0,0.0,0.0,"[51.292436246660735, -2.629657149750761]",4,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
52,871958646ffffff,7,369.4375,0.0,0.0,"[51.31804199349647, -2.8046241805541876]",3,437.3657218138055,1000,400,500000,0.396445464725831,0.6910520184728904,10.307582082871605,309.22746248614817,20.731560554186714,300
53,87195876affffff,7,474.05432098765436,0.0,0.0,"[51.422691307452716, -2.6513761157592746]",1,437.3657218138055,1000,400,0,0.5087103653236038,0.8867432120028803,13.2264694984137,396.79408495241097,26.60229636008641,300
54,871958751ffffff,7,168.56319444444443,0.0,0.0,"[51.4332826165554, -2.7719141526897055]",1,437.3657218138055,1000,400,0,0.18088611458554796,0.31530620405636034,4.703038979224247,141.0911693767274,9.45918612169081,300
55,871958672ffffff,7,0.0,0.0,0.0,"[51.35266532995928, -2.8484938714243313]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
56,871958763ffffff,7,678.342803030303,0.0,0.0,"[51.45956420136988, -2.6622974406151485]",1,437.3657218138055,1000,400,0,0.72793348750674,1.2688754207427486,18.92627067517524,567.7881202552571,38.06626262228246,300
57,871958394ffffff,7,923.612371399177,3.0,1.0,"[51.48571506125867, -2.552674030043253]",0,437.3657218138055,1000,400,0,0.9911336445430513,1.7276648784758837,25.769474758119333,773.08424274358,51.82994635427651,300
58,8719580deffffff,7,0.0,0.0,0.0,"[51.550590546812515, -2.7061364250202655]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
59,8719580ebffffff,7,0.0,6.0,2.0,"[51.542076032183815, -2.552519382331271]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
