hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
89195860b83ffff,990.1416666666667,3.0,0,89195860b83ffff,1.0,3.0,51.353994258029076,-2.906416914108352,12533.537986303167
89195839e47ffff,604.3020833333334,0.0,6,89195839eb7ffff,1.0,11.0,51.42869783420724,-2.562210725989371,7649.4539838512765
89195839473ffff,2625.2083333333335,0.0,3,8919583942fffff,1.0,6.0,51.48261452253519,-2.558941748744751,33230.748160070994
891958755b3ffff,268.975,0.0,28,89195862eb3ffff,2.0,9.0,51.45381519279804,-2.746867658132249,3404.7737746610956
89195839eb7ffff,1231.59375,11.0,0,89195839eb7ffff,1.0,11.0,51.42778919798021,-2.5356342928008018,15589.917654192817
8919583926fffff,945.3583333333333,3.0,0,8919583926fffff,1.0,3.0,51.45530535435237,-2.605951808890263,11966.655863893133
89195876c53ffff,736.2083333333334,0.0,1,89195876c5bffff,3.0,10.0,51.44909136167137,-2.61848148824731,9319.16656202356
89195866153ffff,170.34027777777777,0.0,43,89195862eb3ffff,1.0,4.0,51.3294830358173,-2.717093500367191,2156.2231082675485
891958768d3ffff,1078.875,0.0,3,89195876c73ffff,1.0,2.0,51.43544883426285,-2.6216323571386795,13656.753624453904
891958765d7ffff,619.9833333333333,0.0,7,8919587652fffff,1.0,2.0,51.489376130894705,-2.6184169795499925,7847.952389851478
891958391dbffff,653.3333333333334,0.0,5,8919583901bffff,1.0,2.0,51.45907597893358,-2.5496174502088036,8270.107628758245
8919587652fffff,704.45,2.0,0,8919587652fffff,1.0,2.0,51.47078879902796,-2.615315871961693,8917.159161855223
891958765dbffff,32.204166666666666,0.0,8,8919587652fffff,1.0,2.0,51.49153571082459,-2.626243875074778,407.6509047364316
89195867177ffff,474.31666666666666,0.0,27,89195860b83ffff,1.0,3.0,51.33204221322007,-2.7968263435591614,6004.055944051808
89195876813ffff,535.65625,0.0,5,89195876c73ffff,1.0,2.0,51.42770552412765,-2.6169514009043975,6780.512509464847
